msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html,0.015
2,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.028
3,HTTP,client_browser,web_server,GET /style.css,0.042
4,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.057
5,HTTP,client_browser,web_server,GET /script.js,0.073
6,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.089
7,HTTP,client_browser,web_server,POST /login,0.115
8,HTTP,web_server,client_browser,HTTP/1.1 302 Redirect,0.134
9,HTTP,client_browser,web_server,GET /dashboard,0.162
10,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.187
